month,day,precipitation
01,01,1.37
01,02,0
01,03,0
01,04,0
01,05,0.3
01,06,0.31
01,07,0
01,08,0.05
01,09,0.14
01,10,0
01,11,0
01,12,0
01,13,0
01,14,0
01,15,0
01,16,0
01,17,0
01,18,0.02
01,19,0
01,20,1.34
01,21,0.18
01,22,0
01,23,0
01,24,0.09
01,25,0.89
01,26,0
01,27,0
01,28,0
01,29,0
01,30,0.19
01,31,0
02,01,0
02,02,0
02,03,0
02,04,0
02,05,0
02,06,0
02,07,0.58
02,08,0.41
02,09,0.07
02,10,0
02,11,0
02,12,0
02,13,0.87
02,14,0
02,15,0
02,16,0
02,17,0
02,18,0.14
02,19,0
02,20,0
02,21,0.97
02,22,0
02,23,0
02,24,0.62
02,25,0.21
02,26,0
02,27,0
02,28,0.02
03,01,0.05
03,02,0.49
03,03,0.02
03,04,0.89
03,05,0
03,06,0
03,07,0
03,08,0
03,09,0
03,10,0.36
03,11,0.41
03,12,0
03,13,0
03,14,0
03,15,0.03
03,16,0.49
03,17,0
03,18,0
03,19,0
03,20,0
03,21,0.03
03,22,1.4
03,23,0
03,24,0
03,25,0
03,26,0
03,27,0
03,28,0
03,29,0
03,30,0
03,31,0
04,01,0.03
04,02,0
04,03,0
04,04,0
04,05,0
04,06,0.17
04,07,0
04,08,0.26
04,09,0
04,10,0.02
04,11,0
04,12,0
04,13,0.74
04,14,0
04,15,0.74
04,16,0.28
04,17,0
04,18,0
04,19,0
04,20,0.42
04,21,0.16
04,22,0
04,23,0.09
04,24,0.01
04,25,0
04,26,0.35
04,27,0.5
04,28,0
04,29,0
04,30,0.03
05,01,0
05,02,0.01
05,03,0.14
05,04,0.03
05,05,0.72
05,06,0.86
05,07,0
05,08,0.18
05,09,0
05,10,0
05,11,0.06
05,12,0.38
05,13,1.1
05,14,0.85
05,15,0.27
05,16,0.05
05,17,0
05,18,0.02
05,19,0
05,20,0.06
05,21,0
05,22,0
05,23,0.4
05,24,0.11
05,25,0
05,26,0
05,27,0.2
05,28,0
05,29,0
05,30,0.58
05,31,0.52
06,01,0
06,02,0
06,03,0.39
06,04,0
06,05,0
06,06,0.13
06,07,0
06,08,0
06,09,0
06,10,0
06,11,0.97
06,12,0
06,13,0.01
06,14,0.64
06,15,0
06,16,0
06,17,0
06,18,0.15
06,19,1.09
06,20,0.22
06,21,1.1
06,22,0.24
06,23,0
06,24,0
06,25,0.74
06,26,0
06,27,0
06,28,0
06,29,0
06,30,0.32
07,01,0
07,02,0
07,03,0
07,04,0
07,05,0
07,06,0
07,07,0.03
07,08,0
07,09,0.03
07,10,0
07,11,0
07,12,1.48
07,13,0
07,14,0
07,15,0
07,16,0
07,17,0
07,18,1.04
07,19,0.25
07,20,0
07,21,0
07,22,0
07,23,2.38
07,24,0
07,25,0
07,26,0
07,27,0
07,28,0
07,29,0
07,30,0
07,31,0
08,01,1.6
08,02,0
08,03,0
08,04,0.23
08,05,0.5
08,06,0
08,07,0.32
08,08,1.53
08,09,0
08,10,0
08,11,0
08,12,0
08,13,0
08,14,0
08,15,1.69
08,16,0
08,17,0
08,18,0
08,19,0
08,20,0
08,21,0
08,22,0.51
08,23,1.13
08,24,0.01
08,25,0
08,26,0
08,27,0
08,28,0
08,29,0.02
08,30,0
08,31,0
09,01,0
09,02,0
09,03,1.19
09,04,0
09,05,0
09,06,0
09,07,0.32
09,08,0
09,09,0
09,10,0
09,11,0
09,12,0
09,13,0.04
09,14,0
09,15,0
09,16,0
09,17,0
09,18,0
09,19,0
09,20,0
09,21,0
09,22,0
09,23,0
09,24,0.05
09,25,0
09,26,0
09,27,0
09,28,0
09,29,0
09,30,0
10,01,0
10,02,0
10,03,0.7
10,04,0.37
10,05,0
10,06,0
10,07,0
10,08,0.32
10,09,0
10,10,0.26
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,2.13
10,18,0
10,19,0
10,20,0
10,21,0.66
10,22,0
10,23,0.52
10,24,0
10,25,0
10,26,0
10,27,0.08
10,28,1.31
10,29,0.01
10,30,0.22
10,31,0.39
11,01,0.31
11,02,0
11,03,0
11,04,0
11,05,0
11,06,0
11,07,0
11,08,0.08
11,09,0
11,10,0
11,11,0
11,12,0
11,13,0.03
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0.54
11,20,0
11,21,0
11,22,0
11,23,0.07
11,24,0.56
11,25,0.18
11,26,0
11,27,0
11,28,0.01
11,29,0
11,30,0
12,01,0
12,02,0.71
12,03,0.31
12,04,0
12,05,0
12,06,0
12,07,0
12,08,0
12,09,0.21
12,10,1.28
12,11,0.24
12,12,0.02
12,13,0
12,14,1.47
12,15,0.02
12,16,0
12,17,0.6
12,18,0.58
12,19,0.02
12,20,0
12,21,0
12,22,0
12,23,0
12,24,0
12,25,0
12,26,0
12,27,0
12,28,0
12,29,0
12,30,0.66
12,31,0.31